Date,Outdoor Temperature (°C),Heat Power (kW),Heat Demand (kWh),Electric Power (kW),COP,Target Flow Temperature (°C),Flow Temperature (°C),Return Temperature (°C)
2023-02-07 01:30:00,5.4,2.392,1.196,0.524605981369505,4.55961251862891,30.95,30.95,28.09285714285714
2023-02-07 02:00:00,5.2,2.436,1.218,0.5395648480888603,4.514749262536869,31.1,31.1,28.190301003344484
2023-02-07 02:30:00,5.2,2.436,1.218,0.5395648480888603,4.514749262536869,31.1,31.1,28.190301003344484
2023-02-07 03:00:00,4.9,2.502,1.251,0.5623527299436875,4.449164851125634,31.325,31.325,28.336466794075488
2023-02-07 03:30:00,4.9,2.502,1.251,0.5623527299436875,4.449164851125634,31.325,31.325,28.336466794075488
2023-02-07 04:00:00,4.7,2.546,1.273,0.5777773064687174,4.406542056074763,31.475,31.475,28.43391065456283
2023-02-07 04:30:00,4.7,2.546,1.273,0.5777773064687174,4.406542056074763,31.475,31.475,28.43391065456283
2023-02-07 05:00:00,4.2,2.656,1.328,0.6171510510021189,4.303646563814863,31.85,31.85,28.677520305781176
2023-02-07 05:30:00,4.2,2.656,1.328,0.6171510510021189,4.303646563814863,31.85,31.85,28.677520305781176
2023-02-07 06:00:00,3.8,2.744,1.372,0.6494833143415264,4.224896836313621,32.15,32.15,28.872408026755853
2023-02-07 06:30:00,3.8,2.744,1.372,0.6494833143415264,4.224896836313621,32.15,32.15,28.872408026755853
2023-02-07 07:00:00,3.8,2.744,1.372,0.6494833143415264,4.224896836313621,32.15,32.15,28.872408026755853
2023-02-07 07:30:00,3.8,2.744,1.372,0.6494833143415264,4.224896836313621,32.15,32.15,28.872408026755853
2023-02-07 08:00:00,3.2,2.876,1.438,0.6993654096228874,4.112299465240638,32.6,32.6,29.16473960821787
2023-02-07 08:30:00,3.2,2.876,1.438,0.6993654096228874,4.112299465240638,32.6,32.6,29.16473960821787
2023-02-07 09:00:00,5.5,2.37,1.185,0.5171965672251737,4.582397003745318,30.875,30.875,28.044135212613472
2023-02-07 09:30:00,5.5,2.37,1.185,0.5171965672251737,4.582397003745318,30.875,30.875,28.044135212613472
2023-02-07 10:00:00,6.2,2.216,1.108,0.46664090388079293,4.748833592534988,30.35,30.35,27.703081700907788
2023-02-07 10:30:00,6.2,2.216,1.108,0.46664090388079293,4.748833592534988,30.35,30.35,27.703081700907788
2023-02-07 11:00:00,6.5,2.15,1.075,0.44567800081933634,4.824110671936759,30.125,30.125,27.55691591017678
2023-02-07 11:30:00,6.5,2.15,1.075,0.44567800081933634,4.824110671936759,30.125,30.125,27.55691591017678
2023-02-07 12:00:00,5.9,2.282,1.141,0.4880265074040745,4.675975516449883,30.575,30.575,27.849247491638796
2023-02-07 12:30:00,5.9,2.282,1.141,0.4880265074040745,4.675975516449883,30.575,30.575,27.849247491638796
2023-02-07 13:00:00,5.5,2.37,1.185,0.5171965672251737,4.582397003745318,30.875,30.875,28.044135212613472
2023-02-07 13:30:00,5.5,2.37,1.185,0.5171965672251737,4.582397003745318,30.875,30.875,28.044135212613472
2023-02-07 14:00:00,5.4,2.392,1.196,0.524605981369505,4.55961251862891,30.95,30.95,28.09285714285714
2023-02-07 14:30:00,5.4,2.392,1.196,0.524605981369505,4.55961251862891,30.95,30.95,28.09285714285714
2023-02-07 15:00:00,5.0,2.48,1.24,0.5547102040816327,4.470802919708029,31.25,31.25,28.28774486383182
2023-02-07 15:30:00,5.0,2.48,1.24,0.5547102040816327,4.470802919708029,31.25,31.25,28.28774486383182
2023-02-07 16:00:00,4.8,2.524,1.262,0.5700417754569185,4.427745664739889,31.4,31.4,28.385188724319157
2023-02-07 16:30:00,4.8,2.524,1.262,0.5700417754569185,4.427745664739889,31.4,31.4,28.385188724319157
2023-02-07 17:00:00,4.9,2.502,1.251,0.5623527299436875,4.449164851125634,31.325,31.325,28.336466794075488
2023-02-07 17:30:00,4.9,2.502,1.251,0.5623527299436875,4.449164851125634,31.325,31.325,28.336466794075488
2023-02-07 18:00:00,4.9,2.502,1.251,0.5623527299436875,4.449164851125634,31.325,31.325,28.336466794075488
2023-02-07 18:30:00,4.9,2.502,1.251,0.5623527299436875,4.449164851125634,31.325,31.325,28.336466794075488
2023-02-07 19:00:00,5.0,2.48,1.24,0.5547102040816327,4.470802919708029,31.25,31.25,28.28774486383182
2023-02-07 19:30:00,5.0,2.48,1.24,0.5547102040816327,4.470802919708029,31.25,31.25,28.28774486383182
2023-02-07 20:00:00,4.8,2.524,1.262,0.5700417754569185,4.427745664739889,31.4,31.4,28.385188724319157
2023-02-07 20:30:00,4.8,2.524,1.262,0.5700417754569185,4.427745664739889,31.4,31.4,28.385188724319157
2023-02-07 21:00:00,4.6,2.568,1.284,0.5855592888598922,4.385550786838342,31.55,31.55,28.4826325848065
2023-02-07 21:30:00,4.6,2.568,1.284,0.5855592888598922,4.385550786838342,31.55,31.55,28.4826325848065
2023-02-07 22:00:00,4.2,2.656,1.328,0.6171510510021189,4.303646563814863,31.85,31.85,28.677520305781176
2023-02-07 22:30:00,4.2,2.656,1.328,0.6171510510021189,4.303646563814863,31.85,31.85,28.677520305781176
2023-02-07 23:00:00,4.1,2.678,1.339,0.6251647796693002,4.28367062107467,31.925,31.925,28.726242236024845
2023-02-07 23:30:00,4.1,2.678,1.339,0.6251647796693002,4.28367062107467,31.925,31.925,28.726242236024845
2023-02-08 00:00:00,4.3,2.634,1.317,0.6091836036182865,4.323819591261455,31.775,31.775,28.628798375537507
2023-02-08 00:30:00,4.3,2.634,1.317,0.6091836036182865,4.323819591261455,31.775,31.775,28.628798375537507
2023-02-08 01:00:00,4.3,2.634,1.317,0.6091836036182865,4.323819591261455,31.775,31.775,28.628798375537507
2023-02-08 01:30:00,4.3,2.634,1.317,0.6091836036182865,4.323819591261455,31.775,31.775,28.628798375537507
2023-02-08 02:00:00,4.6,2.568,1.284,0.5855592888598922,4.385550786838342,31.55,31.55,28.4826325848065
2023-02-08 02:30:00,4.6,2.568,1.284,0.5855592888598922,4.385550786838342,31.55,31.55,28.4826325848065
2023-02-08 03:00:00,7.1,2.018,1.009,0.40502404201197983,4.982420278004908,29.675,29.675,27.264584328714765
2023-02-08 03:30:00,7.1,2.018,1.009,0.40502404201197983,4.982420278004908,29.675,29.675,27.264584328714765
2023-02-08 04:00:00,7.7,1.886,0.943,0.3660721505464709,5.151989839119385,29.225,29.225,26.97225274725275
2023-02-08 04:30:00,7.7,1.886,0.943,0.3660721505464709,5.151989839119385,29.225,29.225,26.97225274725275
2023-02-08 05:00:00,8.0,1.82,0.91,0.3472368421052632,5.241379310344827,29.0,29.0,26.82608695652174
2023-02-08 05:30:00,8.0,1.82,0.91,0.3472368421052632,5.241379310344827,29.0,29.0,26.82608695652174
2023-02-08 06:00:00,8.0,1.82,0.91,0.3472368421052632,5.241379310344827,29.0,29.0,26.82608695652174
2023-02-08 06:30:00,8.0,1.82,0.91,0.3472368421052632,5.241379310344827,29.0,29.0,26.82608695652174
2023-02-08 07:00:00,8.1,1.798,0.899,0.3410535493954099,5.271899392888121,28.925,28.925,26.77736502627807
2023-02-08 07:30:00,8.1,1.798,0.899,0.3410535493954099,5.271899392888121,28.925,28.925,26.77736502627807
2023-02-08 08:00:00,8.1,1.798,0.899,0.3410535493954099,5.271899392888121,28.925,28.925,26.77736502627807
2023-02-08 08:30:00,8.1,1.798,0.899,0.3410535493954099,5.271899392888121,28.925,28.925,26.77736502627807
2023-02-08 09:00:00,8.9,1.622,0.811,0.29330487101294006,5.530082041932541,28.325,28.325,26.387589584328715
2023-02-08 09:30:00,8.9,1.622,0.811,0.29330487101294006,5.530082041932541,28.325,28.325,26.387589584328715
2023-02-08 10:00:00,9.8,1.4239999999999997,0.7119999999999999,0.24325392367421078,5.853965183752425,27.65,27.65,25.94909221213569
2023-02-08 10:30:00,9.8,1.4239999999999997,0.7119999999999999,0.24325392367421078,5.853965183752425,27.65,27.65,25.94909221213569
2023-02-08 11:00:00,10.2,1.3360000000000003,0.6680000000000001,0.22226161733090818,6.010934393638164,27.35,27.35,25.754204491161016
2023-02-08 11:30:00,10.2,1.3360000000000003,0.6680000000000001,0.22226161733090818,6.010934393638164,27.35,27.35,25.754204491161016
2023-02-08 12:00:00,11.3,1.0939999999999999,0.5469999999999999,0.16853096758146063,6.491388589881602,26.525,26.525,25.218263258480647
2023-02-08 12:30:00,11.3,1.0939999999999999,0.5469999999999999,0.16853096758146063,6.491388589881602,26.525,26.525,25.218263258480647
2023-02-08 13:00:00,12.7,0.7860000000000003,0.3930000000000001,0.10868890922705736,7.231648616125139,25.475,25.475,24.53615623506928
2023-02-08 13:30:00,12.7,0.7860000000000003,0.3930000000000001,0.10868890922705736,7.231648616125139,25.475,25.475,24.53615623506928
2023-02-08 14:00:00,12.5,0.83,0.415,0.11664864864864866,7.115384615384615,25.625,25.625,24.633600095556616
2023-02-08 14:30:00,12.5,0.83,0.415,0.11664864864864866,7.115384615384615,25.625,25.625,24.633600095556616
2023-02-08 15:00:00,11.9,0.962,0.481,0.1417078800963216,6.788613303269444,26.075,26.075,24.92593167701863
2023-02-08 15:30:00,11.9,0.962,0.481,0.1417078800963216,6.788613303269444,26.075,26.075,24.92593167701863
2023-02-08 16:00:00,9.4,1.512,0.756,0.26501798976728846,5.705273069679847,27.95,27.95,26.143979933110366
2023-02-08 16:30:00,9.4,1.512,0.756,0.26501798976728846,5.705273069679847,27.95,27.95,26.143979933110366
2023-02-08 17:00:00,7.0,2.04,1.02,0.411681706316653,4.955284552845528,29.75,29.75,27.313306258958434
2023-02-08 17:30:00,7.0,2.04,1.02,0.411681706316653,4.955284552845528,29.75,29.75,27.313306258958434
2023-02-08 18:00:00,6.5,2.15,1.075,0.44567800081933634,4.824110671936759,30.125,30.125,27.55691591017678
2023-02-08 18:30:00,6.5,2.15,1.075,0.44567800081933634,4.824110671936759,30.125,30.125,27.55691591017678
2023-02-08 19:00:00,7.0,2.04,1.02,0.411681706316653,4.955284552845528,29.75,29.75,27.313306258958434
2023-02-08 19:30:00,7.0,2.04,1.02,0.411681706316653,4.955284552845528,29.75,29.75,27.313306258958434
2023-02-08 20:00:00,7.0,2.04,1.02,0.411681706316653,4.955284552845528,29.75,29.75,27.313306258958434
2023-02-08 20:30:00,7.0,2.04,1.02,0.411681706316653,4.955284552845528,29.75,29.75,27.313306258958434
2023-02-08 21:00:00,6.6,2.128,1.064,0.4387844615636779,4.8497615262321165,30.05,30.05,27.50819397993311
2023-02-08 21:30:00,6.6,2.128,1.064,0.4387844615636779,4.8497615262321165,30.05,30.05,27.50819397993311
2023-02-08 22:00:00,5.8,2.304,1.152,0.49524881400294407,4.652207001522075,30.65,30.65,27.897969421882465
2023-02-08 22:30:00,5.8,2.304,1.152,0.49524881400294407,4.652207001522075,30.65,30.65,27.897969421882465
2023-02-08 23:00:00,5.8,2.304,1.152,0.49524881400294407,4.652207001522075,30.65,30.65,27.897969421882465
2023-02-08 23:30:00,5.8,2.304,1.152,0.49524881400294407,4.652207001522075,30.65,30.65,27.897969421882465
2023-02-09 00:00:00,3.9,2.722,1.361,0.6413309452088255,4.244298548721491,32.075,32.075,28.823686096512187
2023-02-09 00:30:00,3.9,2.722,1.361,0.6413309452088255,4.244298548721491,32.075,32.075,28.823686096512187
2023-02-09 01:00:00,3.5,2.81,1.405,0.6742171614477429,4.167796610169492,32.375,32.375,29.01857381748686
2023-02-09 01:30:00,3.5,2.81,1.405,0.6742171614477429,4.167796610169492,32.375,32.375,29.01857381748686
2023-02-09 02:00:00,2.7,2.986,1.493,0.7421975809724822,4.023187459177005,32.975,32.975,29.408349259436218
2023-02-09 02:30:00,2.7,2.986,1.493,0.7421975809724822,4.023187459177005,32.975,32.975,29.408349259436218
2023-02-09 03:00:00,3.6,2.788,1.394,0.6659264562316952,4.1866485013623995,32.3,32.3,28.969851887243188
2023-02-09 03:30:00,3.6,2.788,1.394,0.6659264562316952,4.1866485013623995,32.3,32.3,28.969851887243188
2023-02-09 04:00:00,3.8,2.744,1.372,0.6494833143415264,4.224896836313621,32.15,32.15,28.872408026755853
2023-02-09 04:30:00,3.8,2.744,1.372,0.6494833143415264,4.224896836313621,32.15,32.15,28.872408026755853
2023-02-09 05:00:00,3.2,2.876,1.438,0.6993654096228874,4.112299465240638,32.6,32.6,29.16473960821787
2023-02-09 05:30:00,3.2,2.876,1.438,0.6993654096228874,4.112299465240638,32.6,32.6,29.16473960821787
2023-02-09 06:00:00,3.4,2.832,1.416,0.6825539112050742,4.149122807017543,32.45,32.45,29.067295747730533
2023-02-09 06:30:00,3.4,2.832,1.416,0.6825539112050742,4.149122807017543,32.45,32.45,29.067295747730533
2023-02-09 07:00:00,4.1,2.678,1.339,0.6251647796693002,4.28367062107467,31.925,31.925,28.726242236024845
2023-02-09 07:30:00,4.1,2.678,1.339,0.6251647796693002,4.28367062107467,31.925,31.925,28.726242236024845
2023-02-09 08:00:00,4.1,2.678,1.339,0.6251647796693002,4.28367062107467,31.925,31.925,28.726242236024845
2023-02-09 08:30:00,4.1,2.678,1.339,0.6251647796693002,4.28367062107467,31.925,31.925,28.726242236024845
2023-02-09 09:00:00,4.8,2.524,1.262,0.5700417754569185,4.427745664739889,31.4,31.4,28.385188724319157
2023-02-09 09:30:00,4.8,2.524,1.262,0.5700417754569185,4.427745664739889,31.4,31.4,28.385188724319157
2023-02-09 10:00:00,5.1,2.458,1.229,0.5471142320568302,4.492663242846663,31.175,31.175,28.239022933588153
2023-02-09 10:30:00,5.1,2.458,1.229,0.5471142320568302,4.492663242846663,31.175,31.175,28.239022933588153
2023-02-09 11:00:00,5.4,2.392,1.196,0.524605981369505,4.55961251862891,30.95,30.95,28.09285714285714
2023-02-09 11:30:00,5.4,2.392,1.196,0.524605981369505,4.55961251862891,30.95,30.95,28.09285714285714
2023-02-09 12:00:00,5.4,2.392,1.196,0.524605981369505,4.55961251862891,30.95,30.95,28.09285714285714
2023-02-09 12:30:00,5.4,2.392,1.196,0.524605981369505,4.55961251862891,30.95,30.95,28.09285714285714
2023-02-09 13:00:00,5.5,2.37,1.185,0.5171965672251737,4.582397003745318,30.875,30.875,28.044135212613472
2023-02-09 13:30:00,5.5,2.37,1.185,0.5171965672251737,4.582397003745318,30.875,30.875,28.044135212613472
2023-02-09 14:00:00,5.4,2.392,1.196,0.524605981369505,4.55961251862891,30.95,30.95,28.09285714285714
2023-02-09 14:30:00,5.4,2.392,1.196,0.524605981369505,4.55961251862891,30.95,30.95,28.09285714285714
2023-02-09 15:00:00,5.4,2.392,1.196,0.524605981369505,4.55961251862891,30.95,30.95,28.09285714285714
2023-02-09 15:30:00,5.4,2.392,1.196,0.524605981369505,4.55961251862891,30.95,30.95,28.09285714285714
2023-02-09 16:00:00,5.4,2.392,1.196,0.524605981369505,4.55961251862891,30.95,30.95,28.09285714285714
2023-02-09 16:30:00,5.4,2.392,1.196,0.524605981369505,4.55961251862891,30.95,30.95,28.09285714285714
2023-02-09 17:00:00,5.3,2.414,1.207,0.5320620864308466,4.5370644922164605,31.025,31.025,28.14157907310081
2023-02-09 17:30:00,5.3,2.414,1.207,0.5320620864308466,4.5370644922164605,31.025,31.025,28.14157907310081
2023-02-09 18:00:00,5.1,2.458,1.229,0.5471142320568302,4.492663242846663,31.175,31.175,28.239022933588153
2023-02-09 18:30:00,5.1,2.458,1.229,0.5471142320568302,4.492663242846663,31.175,31.175,28.239022933588153
2023-02-09 19:00:00,5.1,2.458,1.229,0.5471142320568302,4.492663242846663,31.175,31.175,28.239022933588153
2023-02-09 19:30:00,5.1,2.458,1.229,0.5471142320568302,4.492663242846663,31.175,31.175,28.239022933588153
2023-02-09 20:00:00,5.2,2.436,1.218,0.5395648480888603,4.514749262536869,31.1,31.1,28.190301003344484
2023-02-09 20:30:00,5.2,2.436,1.218,0.5395648480888603,4.514749262536869,31.1,31.1,28.190301003344484
2023-02-09 21:00:00,5.3,2.414,1.207,0.5320620864308466,4.5370644922164605,31.025,31.025,28.14157907310081
2023-02-09 21:30:00,5.3,2.414,1.207,0.5320620864308466,4.5370644922164605,31.025,31.025,28.14157907310081
2023-02-09 22:00:00,6.2,2.216,1.108,0.46664090388079293,4.748833592534988,30.35,30.35,27.703081700907788
2023-02-09 22:30:00,6.2,2.216,1.108,0.46664090388079293,4.748833592534988,30.35,30.35,27.703081700907788
2023-02-09 23:00:00,6.7,2.106,1.053,0.4319380277071896,4.875699440447637,29.975,29.975,27.45947204968944
2023-02-09 23:30:00,6.7,2.106,1.053,0.4319380277071896,4.875699440447637,29.975,29.975,27.45947204968944
2023-02-10 00:00:00,5.5,2.37,1.185,0.5171965672251737,4.582397003745318,30.875,30.875,28.044135212613472
2023-02-10 00:30:00,5.5,2.37,1.185,0.5171965672251737,4.582397003745318,30.875,30.875,28.044135212613472
2023-02-10 01:00:00,4.9,2.502,1.251,0.5623527299436875,4.449164851125634,31.325,31.325,28.336466794075488
2023-02-10 01:30:00,4.9,2.502,1.251,0.5623527299436875,4.449164851125634,31.325,31.325,28.336466794075488
2023-02-10 02:00:00,4.7,2.546,1.273,0.5777773064687174,4.406542056074763,31.475,31.475,28.43391065456283
2023-02-10 02:30:00,4.7,2.546,1.273,0.5777773064687174,4.406542056074763,31.475,31.475,28.43391065456283
2023-02-10 03:00:00,4.5,2.59,1.295,0.5933876885446392,4.364768683274021,31.625,31.625,28.531354515050168
2023-02-10 03:30:00,4.5,2.59,1.295,0.5933876885446392,4.364768683274021,31.625,31.625,28.531354515050168
2023-02-10 04:00:00,4.2,2.656,1.328,0.6171510510021189,4.303646563814863,31.85,31.85,28.677520305781176
2023-02-10 04:30:00,4.2,2.656,1.328,0.6171510510021189,4.303646563814863,31.85,31.85,28.677520305781176
2023-02-10 05:00:00,3.6,2.788,1.394,0.6659264562316952,4.1866485013623995,32.3,32.3,28.969851887243188
2023-02-10 05:30:00,3.6,2.788,1.394,0.6659264562316952,4.1866485013623995,32.3,32.3,28.969851887243188
2023-02-10 06:00:00,4.5,2.59,1.295,0.5933876885446392,4.364768683274021,31.625,31.625,28.531354515050168
2023-02-10 06:30:00,4.5,2.59,1.295,0.5933876885446392,4.364768683274021,31.625,31.625,28.531354515050168
2023-02-10 07:00:00,3.6,2.788,1.394,0.6659264562316952,4.1866485013623995,32.3,32.3,28.969851887243188
2023-02-10 07:30:00,3.6,2.788,1.394,0.6659264562316952,4.1866485013623995,32.3,32.3,28.969851887243188
2023-02-10 08:00:00,3.5,2.81,1.405,0.6742171614477429,4.167796610169492,32.375,32.375,29.01857381748686
2023-02-10 08:30:00,3.5,2.81,1.405,0.6742171614477429,4.167796610169492,32.375,32.375,29.01857381748686
